id,brand,model,release_year,collected_at,source_url,confidence,supported_form_factors,max_gpu_length_mm,max_cpu_cooler_height_mm,max_psu_length_mm
fractal-design-north,Fractal Design,North,,2026-08-19,https://www.fractal-design.com/products/cases/north/north/chalk-white/,medium,ATX|mATX|ITX,355,170,155
fractal-design-meshify-2-compact,Fractal Design,Meshify 2 Compact,,2026-08-19,https://www.fractal-design.com/products/cases/meshify/meshify-2-compact/black-tg-light-tint/,medium,ATX|mATX|ITX,341,169,165
fractal-design-node-304,Fractal Design,Node 304,,2026-08-19,https://www.fractal-design.com/products/cases/node/node-304/black/,medium,ITX,310,165,160
fractal-design-terra,Fractal Design,Terra,,2026-08-19,https://www.fractal-design.com/products/cases/terra/terra/jade/,medium,ITX,322,48,130
fractal-design-pop-air,Fractal Design,Pop Air,,2026-08-20,https://www.fractal-design.com/products/cases/pop/pop-air/black-solid/,medium,ATX|mATX|ITX,405,170,170
fractal-design-pop-mini-air,Fractal Design,Pop Mini Air,,2026-08-20,https://www.fractal-design.com/products/cases/pop/pop-mini-air/black-solid/,medium,mATX|ITX,365,170,150
fractal-design-torrent,Fractal Design,Torrent,,2026-08-20,https://www.fractal-design.com/products/cases/torrent/torrent/black-solid/,medium,E-ATX|ATX|mATX|ITX,423,188,230
fractal-design-define-7-compact,Fractal Design,Define 7 Compact,,2026-08-20,https://www.fractal-design.com/products/cases/define/define-7-compact/black-solid/,medium,ATX|mATX|ITX,341,169,165
fractal-design-meshify-2,Fractal Design,Meshify 2,,2026-08-20,https://www.fractal-design.com/products/cases/meshify/meshify-2/black-tg-light-tint/,medium,E-ATX|ATX|mATX|ITX,290,185,250
fractal-design-north-xl,Fractal Design,North XL,,2026-08-20,https://www.fractal-design.com/products/cases/north/north-xl/charcoal-black-tg-dark/,medium,E-ATX|ATX|mATX|ITX,380,155,175
fractal-design-ridge,Fractal Design,Ridge,,2026-08-20,https://www.fractal-design.com/products/cases/ridge/ridge/black/,medium,ITX,325,70,
