id,brand,model,release_year,collected_at,source_url,confidence,socket,cores,threads,base_clock_mhz,boost_clock_mhz,tdp_watt,memory_type,has_igpu,l3_cache_mb,architecture_family,process_node_nm
amd-ryzen-9-9950x3d,AMD,Ryzen 9 9950X3D,2025,2026-08-19,https://www.amd.com/en/products/processors/desktops/ryzen/9000-series/amd-ryzen-9-9950x3d.html,high,AM5,16,32,4300,5700,170,DDR5,true,128,zen_5,
amd-ryzen-9-9950x,AMD,Ryzen 9 9950X,2024,2026-08-19,https://www.amd.com/en/products/processors/desktops/ryzen/9000-series/amd-ryzen-9-9950x.html,high,AM5,16,32,4300,5700,170,DDR5,true,64,zen_5,
amd-ryzen-9-9900x3d,AMD,Ryzen 9 9900X3D,2025,2026-08-19,https://www.amd.com/en/products/processors/desktops/ryzen/9000-series/amd-ryzen-9-9900x3d.html,high,AM5,12,24,4400,5500,120,DDR5,true,128,zen_5,
amd-ryzen-9-9900x,AMD,Ryzen 9 9900X,2024,2026-08-19,https://www.amd.com/en/products/processors/desktops/ryzen/9000-series/amd-ryzen-9-9900x.html,high,AM5,12,24,4400,5600,120,DDR5,true,64,zen_5,
amd-ryzen-7-9800x3d,AMD,Ryzen 7 9800X3D,2024,2026-08-19,https://www.amd.com/en/products/processors/desktops/ryzen/9000-series/amd-ryzen-7-9800x3d.html,high,AM5,8,16,4700,5200,120,DDR5,true,96,zen_5,
amd-ryzen-7-9700x,AMD,Ryzen 7 9700X,2024,2026-08-19,https://www.amd.com/en/products/processors/desktops/ryzen/9000-series/amd-ryzen-7-9700x.html,high,AM5,8,16,3800,5500,65,DDR5,true,32,zen_5,
amd-ryzen-5-9600x,AMD,Ryzen 5 9600X,2024,2026-08-19,https://www.amd.com/en/products/processors/desktops/ryzen/9000-series/amd-ryzen-5-9600x.html,high,AM5,6,12,3900,5400,65,DDR5,true,32,zen_5,
amd-ryzen-5-9600,AMD,Ryzen 5 9600,2025,2026-08-19,https://www.amd.com/en/products/processors/desktops/ryzen/9000-series/amd-ryzen-5-9600.html,high,AM5,6,12,3800,5200,65,DDR5,true,32,zen_5,
amd-ryzen-9-7950x3d,AMD,Ryzen 9 7950X3D,2023,2026-08-19,https://www.amd.com/en/products/processors/desktops/ryzen/7000-series/amd-ryzen-9-7950x3d.html,high,AM5,16,32,4200,5700,120,DDR5,true,128,zen_4,
amd-ryzen-9-7950x,AMD,Ryzen 9 7950X,2022,2026-08-19,https://www.amd.com/en/products/processors/desktops/ryzen/7000-series/amd-ryzen-9-7950x.html,high,AM5,16,32,4500,5700,170,DDR5,true,64,zen_4,
amd-ryzen-9-7900x3d,AMD,Ryzen 9 7900X3D,2023,2026-08-19,https://www.amd.com/en/products/processors/desktops/ryzen/7000-series/amd-ryzen-9-7900x3d.html,high,AM5,12,24,4400,5600,120,DDR5,true,128,zen_4,
amd-ryzen-9-7900x,AMD,Ryzen 9 7900X,2022,2026-08-19,https://www.amd.com/en/products/processors/desktops/ryzen/7000-series/amd-ryzen-9-7900x.html,high,AM5,12,24,4700,5600,170,DDR5,true,64,zen_4,
amd-ryzen-9-7900,AMD,Ryzen 9 7900,2023,2026-08-19,https://www.amd.com/en/products/processors/desktops/ryzen/7000-series/amd-ryzen-9-7900.html,high,AM5,12,24,3700,5400,65,DDR5,true,64,zen_4,
amd-ryzen-7-7800x3d,AMD,Ryzen 7 7800X3D,2023,2026-08-19,https://www.amd.com/en/products/processors/desktops/ryzen/7000-series/amd-ryzen-7-7800x3d.html,high,AM5,8,16,4200,5000,120,DDR5,true,96,zen_4,
amd-ryzen-7-7700x,AMD,Ryzen 7 7700X,2022,2026-08-19,https://www.amd.com/en/products/processors/desktops/ryzen/7000-series/amd-ryzen-7-7700x.html,high,AM5,8,16,4500,5400,105,DDR5,true,32,zen_4,
amd-ryzen-7-7700,AMD,Ryzen 7 7700,2023,2026-08-19,https://www.amd.com/en/products/processors/desktops/ryzen/7000-series/amd-ryzen-7-7700.html,high,AM5,8,16,3800,5300,65,DDR5,true,32,zen_4,
amd-ryzen-5-7600x3d,AMD,Ryzen 5 7600X3D,2024,2026-08-19,https://www.amd.com/en/products/processors/desktops/ryzen/7000-series/amd-ryzen-5-7600x3d.html,high,AM5,6,12,4100,4700,65,DDR5,true,96,zen_4,
amd-ryzen-5-7600x,AMD,Ryzen 5 7600X,2022,2026-08-19,https://www.amd.com/en/products/processors/desktops/ryzen/7000-series/amd-ryzen-5-7600x.html,high,AM5,6,12,4700,5300,105,DDR5,true,32,zen_4,
amd-ryzen-5-7600,AMD,Ryzen 5 7600,2023,2026-08-19,https://www.amd.com/en/products/processors/desktops/ryzen/7000-series/amd-ryzen-5-7600.html,high,AM5,6,12,3800,5100,65,DDR5,true,32,zen_4,
amd-ryzen-5-7500f,AMD,Ryzen 5 7500F,2023,2026-08-19,https://www.amd.com/en/products/processors/desktops/ryzen/7000-series/amd-ryzen-5-7500f.html,high,AM5,6,12,3700,5000,65,DDR5,false,32,zen_4,
