id,brand,model,release_year,collected_at,source_url,confidence,socket,cores,threads,base_clock_mhz,boost_clock_mhz,tdp_watt,memory_type,has_igpu,l3_cache_mb,architecture_family
intel-core-i9-14900k,Intel,Core i9-14900K,2023,2026-08-19,https://www.intel.com/content/www/us/en/products/sku/236773/intel-core-i9-processor-14900k-36m-cache-up-to-6-00-ghz/specifications.html,high,LGA1700,24,32,3200,6000,125,DDR4/DDR5,true,36,raptor_lake_refresh
intel-core-i9-14900ks,Intel,Core i9-14900KS,2024,2026-08-19,https://www.intel.com/content/www/us/en/products/sku/237504/intel-core-i9-processor-14900ks-36m-cache-up-to-6-20-ghz/specifications.html,high,LGA1700,24,32,3200,6200,150,DDR4/DDR5,true,36,raptor_lake_refresh
intel-core-i9-14900,Intel,Core i9-14900,2024,2026-08-19,https://www.intel.com/content/www/us/en/products/sku/236793/intel-core-i9-processor-14900-36m-cache-up-to-5-80-ghz/specifications.html,high,LGA1700,24,32,2000,5800,65,DDR4/DDR5,true,36,raptor_lake_refresh
intel-core-i7-14700k,Intel,Core i7-14700K,2023,2026-08-19,https://www.intel.com/content/www/us/en/products/sku/236783/intel-core-i7-processor-14700k-33m-cache-up-to-5-60-ghz/specifications.html,high,LGA1700,20,28,3400,5600,125,DDR4/DDR5,true,33,raptor_lake_refresh
intel-core-i7-14700,Intel,Core i7-14700,2024,2026-08-19,https://www.intel.com/content/www/us/en/products/sku/236781/intel-core-i7-processor-14700-33m-cache-up-to-5-40-ghz/specifications.html,high,LGA1700,20,28,2100,5400,65,DDR4/DDR5,true,33,raptor_lake_refresh
intel-core-i5-14600k,Intel,Core i5-14600K,2023,2026-08-19,https://www.intel.com/content/www/us/en/products/sku/236799/intel-core-i5-processor-14600k-24m-cache-up-to-5-30-ghz/specifications.html,high,LGA1700,14,20,3500,5300,125,DDR4/DDR5,true,24,raptor_lake_refresh
intel-core-i5-14600,Intel,Core i5-14600,2024,2026-08-19,https://www.intel.com/content/www/us/en/products/sku/236845/intel-core-i5-processor-14600-24m-cache-up-to-5-20-ghz/specifications.html,high,LGA1700,14,20,2700,5200,65,DDR4/DDR5,true,24,raptor_lake_refresh
intel-core-i5-14500,Intel,Core i5-14500,2024,2026-08-19,https://www.intel.com/content/www/us/en/products/sku/236784/intel-core-i5-processor-14500-24m-cache-up-to-5-00-ghz/specifications.html,high,LGA1700,14,20,2600,5000,65,DDR4/DDR5,true,24,raptor_lake_refresh
intel-core-i5-14400,Intel,Core i5-14400,2024,2026-08-19,https://www.intel.com/content/www/us/en/products/sku/236788/intel-core-i5-processor-14400-20m-cache-up-to-4-70-ghz/specifications.html,high,LGA1700,10,16,2500,4700,65,DDR4/DDR5,true,20,raptor_lake_refresh
intel-core-i3-14100,Intel,Core i3-14100,2024,2026-08-19,https://www.intel.com/content/www/us/en/products/sku/236774/intel-core-i3-processor-14100-12m-cache-up-to-4-70-ghz/specifications.html,high,LGA1700,4,8,3500,4700,60,DDR4/DDR5,true,12,raptor_lake_refresh
intel-core-ultra-9-285k,Intel,Core Ultra 9 285K,2024,2026-08-19,https://www.intel.com/content/www/us/en/products/sku/241060/intel-core-ultra-9-processor-285k-36m-cache-up-to-5-70-ghz/specifications.html,high,LGA1851,24,24,3700,5700,125,DDR5,true,36,arrow_lake
intel-core-ultra-9-285,Intel,Core Ultra 9 285,2025,2026-08-19,https://www.intel.com/content/www/us/en/products/sku/241061/intel-core-ultra-9-processor-285-36m-cache-up-to-5-60-ghz/specifications.html,high,LGA1851,24,24,2500,5600,65,DDR5,true,36,arrow_lake
intel-core-ultra-7-265k,Intel,Core Ultra 7 265K,2024,2026-08-19,https://www.intel.com/content/www/us/en/products/sku/241063/intel-core-ultra-7-processor-265k-30m-cache-up-to-5-50-ghz/specifications.html,high,LGA1851,20,20,3900,5500,125,DDR5,true,30,arrow_lake
intel-core-ultra-7-265,Intel,Core Ultra 7 265,2025,2026-08-19,https://www.intel.com/content/www/us/en/products/sku/241068/intel-core-ultra-7-processor-265-30m-cache-up-to-5-30-ghz/specifications.html,high,LGA1851,20,20,2400,5300,65,DDR5,true,30,arrow_lake
